Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,12445611.20,563453.30,1227271.50,5048,0,9124,0,11843,0,726,0,44,0.7554873651986567,7440
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,9989739.63,212896.57,64330.00,2675,0,1472,0,5888,0,881,0,51,0.943418509059183,6492
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1012045.36,12601.29,5220.00,263,0,300,0,585,0,66,0,8,0.8140666672737931,552
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,6584440.40,3988392.85,4126230.00,3848,0,1938,0,7719,0,1225,0,26,0.9368190568447075,12144
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,5433096.21,1562595.84,2760639.00,1268,0,500,0,2702,0,581,0,51,0.3914565858823705,10056
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,4004256.61,1257823.54,3428448.00,1632,0,832,0,3945,0,672,0,19,0.9417724517245792,6900
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,672193.44,465396.63,131015.51,350,0,113,0,818,0,181,0,13,0.9125512424296328,1260
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,783739.88,571270.52,387528.42,480,0,185,0,1131,0,268,0,16,0.9166276769523126,1680
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,565693.16,152013.35,231128.91,197,0,113,0,546,0,75,0,13,0.8730963242221608,636
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,24364447.07,0.00,0,6287,0,3365,0,15299,0,1966,53,0.9674203576812934,22440
